object,index,x,y,z,nx,ny,nz,H,K,k1,k2
Cylinder,0,0.0,1.0,-1.0,-4.384174019378406e-07,0.7278850078582764,-0.6856992840766907,2.217619365425954,0.9952632257717346,4.198167881403403,0.23707084944850498
Cylinder,1,0.0,1.0,1.0,4.3841893671014986e-07,0.7278875708580017,0.6856964230537415,2.1767983462865477,0.9769395002958896,4.116260008733104,0.2373366838399915
Cylinder,2,0.19509032368659973,0.9807852506637573,-1.0,0.14200665056705475,0.7139177322387695,-0.6856788396835327,1.577830548127326,0.708123529940175,2.912531154504503,0.24312994175014935
Cylinder,3,0.19509032368659973,0.9807852506637573,1.0,0.14200377464294434,0.7138986587524414,0.6856994032859802,2.217625111156241,0.9952602505069408,4.198180811742263,0.23706941057021869
Cylinder,4,0.3826834559440613,0.9238795042037964,-1.0,0.27854904532432556,0.6724781394004822,-0.6856993436813354,2.2176179686586903,0.9952608997403464,4.198165507895643,0.2370704294217374
Cylinder,5,0.3826834559440613,0.9238795042037964,1.0,0.27855512499809265,0.6724904775619507,0.685684859752655,0.4348911125938339,0.19517806699565626,0.4348911125938339,0.4348911125938339
Cylinder,6,0.5555702447891235,0.8314695954322815,-1.0,0.40440061688423157,0.6052290201187134,-0.6856805682182312,1.8546387827624866,0.8323596105424277,3.4693602460447117,0.23991731948026151
Cylinder,7,0.5555702447891235,0.8314695954322815,1.0,0.4043916165828705,0.60521399974823,0.6856993436813354,2.21762163363268,0.995260579486923,4.198173357387643,0.23706990987771737
Cylinder,8,0.7071067690849304,0.7071067690849304,-1.0,0.5146921277046204,0.5146927237510681,-0.6856992840766907,2.217629323465315,0.9952567219602535,4.198190631360877,0.23706801556975354
Cylinder,9,0.7071067690849304,0.7071067690849304,1.0,0.5147063732147217,0.5147057771682739,0.6856787204742432,1.577827393645253,0.7081290465658905,2.9125222042935457,0.2431325829969604
Cylinder,10,0.8314695954322815,0.5555702447891235,-1.0,0.6052196621894836,0.40439537167549133,-0.6856919527053833,2.100908714004041,0.9428855207314935,3.963952434330168,0.23786499367791314
Cylinder,11,0.8314695954322815,0.5555702447891235,1.0,0.6052144765853882,0.4043908715248108,0.6856993436813354,2.2176215035437905,0.9952605240644483,4.198173095630039,0.23706991145754208
Cylinder,12,0.9238795042037964,0.3826834559440613,-1.0,0.6724777817726135,0.27854984998703003,-0.6856993436813354,2.2176182135843656,0.995260849312442,4.198166039795253,0.2370703873734783
Cylinder,13,0.9238795042037964,0.3826834559440613,1.0,0.672495424747467,0.278556227684021,0.6856793165206909,1.8448680451866841,0.8279768021525926,3.4497235844793472,0.2400125058940208
Cylinder,14,0.9807852506637573,0.19509032368659973,-1.0,0.7139209508895874,0.1420082002878189,-0.6856752038002014,0.6516065852154816,0.29243728712701933,1.0151363017025405,0.28807686872842275
Cylinder,15,0.9807852506637573,0.19509032368659973,1.0,0.7138988375663757,0.1420028954744339,0.6856994032859802,2.217625173812419,0.9952602608392004,4.198180941946041,0.2370694056787972
Cylinder,16,1.0,0.0,-1.0,0.7278850078582764,4.384174019378406e-07,-0.6856992840766907,2.217619365425954,0.9952632257717346,4.198167881403403,0.23707084944850498
Cylinder,17,1.0,0.0,1.0,0.7278875708580017,-4.3841893671014986e-07,0.6856964230537415,2.176798214594864,0.9769395006889999,4.116259729132955,0.23733670005677254
Cylinder,18,0.9807852506637573,-0.19509032368659973,-1.0,0.7139177322387695,-0.14200665056705475,-0.6856788396835327,1.577830548127326,0.708123529940175,2.912531154504503,0.24312994175014935
Cylinder,19,0.9807852506637573,-0.19509032368659973,1.0,0.7139045000076294,-0.14200492203235626,0.6856930255889893,2.113599159394137,0.9485741487575295,3.9894262457307406,0.23777207305753323
Cylinder,20,0.9238795042037964,-0.3826834559440613,-1.0,0.6724781394004822,-0.27854904532432556,-0.6856993436813354,2.2176179686586903,0.9952608997403464,4.198165507895643,0.2370704294217374
Cylinder,21,0.9238795042037964,-0.3826834559440613,1.0,0.6724966168403625,-0.2785576581954956,0.6856778264045715,0.6552195490238422,0.29405851432171415,1.0229886927829304,0.28745040526475385
Cylinder,22,0.8314695954322815,-0.5555702447891235,-1.0,0.6052290201187134,-0.40440061688423157,-0.6856805682182312,1.8546387827624866,0.8323596105424277,3.4693602460447117,0.23991731948026151
Cylinder,23,0.8314695954322815,-0.5555702447891235,1.0,0.60521399974823,-0.4043916165828705,0.6856993436813354,2.21762163363268,0.995260579486923,4.198173357387643,0.23706990987771737
Cylinder,24,0.7071067690849304,-0.7071067690849304,-1.0,0.5146927237510681,-0.5146921277046204,-0.6856992840766907,2.217629323465315,0.9952567219602535,4.198190631360877,0.23706801556975354
Cylinder,25,0.7071067690849304,-0.7071067690849304,1.0,0.5147057771682739,-0.5147063732147217,0.6856787204742432,1.577827393645253,0.7081290465658905,2.9125222042935457,0.2431325829969604
Cylinder,26,0.5555702447891235,-0.8314695954322815,-1.0,0.40439537167549133,-0.6052196621894836,-0.6856919527053833,2.100908714004041,0.9428855207314935,3.963952434330168,0.23786499367791314
Cylinder,27,0.5555702447891235,-0.8314695954322815,1.0,0.4043908715248108,-0.6052144765853882,0.6856993436813354,2.2176215035437905,0.9952605240644483,4.198173095630039,0.23706991145754208
Cylinder,28,0.3826834559440613,-0.9238795042037964,-1.0,0.27854984998703003,-0.6724777817726135,-0.6856993436813354,2.2176182135843656,0.995260849312442,4.198166039795253,0.2370703873734783
Cylinder,29,0.3826834559440613,-0.9238795042037964,1.0,0.278556227684021,-0.672495424747467,0.6856793165206909,1.8448680451866841,0.8279768021525926,3.4497235844793472,0.2400125058940208
Cylinder,30,0.19509032368659973,-0.9807852506637573,-1.0,0.14200618863105774,-0.7139108180999756,-0.6856861710548401,0.4354310806168257,0.1954187971792128,0.4354310806168257,0.4354310806168257
Cylinder,31,0.19509032368659973,-0.9807852506637573,1.0,0.1420028954744339,-0.7138988375663757,0.6856994032859802,2.217625173812419,0.9952602608392004,4.198180941946041,0.2370694056787972
Cylinder,32,0.0,-1.0,-1.0,4.384174019378406e-07,-0.7278850078582764,-0.6856992840766907,2.217619365425954,0.9952632257717346,4.198167881403403,0.23707084944850498
Cylinder,33,0.0,-1.0,1.0,-4.3841893671014986e-07,-0.7278875708580017,0.6856964230537415,2.176798214594864,0.9769395006889999,4.116259729132955,0.23733670005677254
Cylinder,34,-0.19509032368659973,-0.9807852506637573,-1.0,-0.14200665056705475,-0.7139177322387695,-0.6856788396835327,1.577830548127326,0.708123529940175,2.912531154504503,0.24312994175014935
Cylinder,35,-0.19509032368659973,-0.9807852506637573,1.0,-0.14200492203235626,-0.7139045000076294,0.6856930255889893,2.113599159394137,0.9485741487575295,3.9894262457307406,0.23777207305753323
Cylinder,36,-0.3826834559440613,-0.9238795042037964,-1.0,-0.27854904532432556,-0.6724781394004822,-0.6856993436813354,2.2176179686586903,0.9952608997403464,4.198165507895643,0.2370704294217374
Cylinder,37,-0.3826834559440613,-0.9238795042037964,1.0,-0.27855366468429565,-0.6724869608879089,0.6856886744499207,0.43704186437359227,0.19614153161159134,0.43704186437359227,0.43704186437359227
Cylinder,38,-0.5555702447891235,-0.8314695954322815,-1.0,-0.40440061688423157,-0.6052290201187134,-0.6856805682182312,1.8546387827624866,0.8323596105424277,3.4693602460447117,0.23991731948026151
Cylinder,39,-0.5555702447891235,-0.8314695954322815,1.0,-0.4043916165828705,-0.60521399974823,0.6856993436813354,2.21762163363268,0.995260579486923,4.198173357387643,0.23706990987771737
Cylinder,40,-0.7071067690849304,-0.7071067690849304,-1.0,-0.5146921277046204,-0.5146927237510681,-0.6856992840766907,2.217629323465315,0.9952567219602535,4.198190631360877,0.23706801556975354
Cylinder,41,-0.7071067690849304,-0.7071067690849304,1.0,-0.5147063732147217,-0.5147057771682739,0.6856787204742432,1.577827393645253,0.7081290465658905,2.9125222042935457,0.2431325829969604
Cylinder,42,-0.8314695954322815,-0.5555702447891235,-1.0,-0.6052196621894836,-0.40439537167549133,-0.6856919527053833,2.100908714004041,0.9428855207314935,3.963952434330168,0.23786499367791314
Cylinder,43,-0.8314695954322815,-0.5555702447891235,1.0,-0.6052144765853882,-0.4043908715248108,0.6856993436813354,2.2176215035437905,0.9952605240644483,4.198173095630039,0.23706991145754208
Cylinder,44,-0.9238795042037964,-0.3826834559440613,-1.0,-0.6724777817726135,-0.27854984998703003,-0.6856993436813354,2.2176182135843656,0.995260849312442,4.198166039795253,0.2370703873734783
Cylinder,45,-0.9238795042037964,-0.3826834559440613,1.0,-0.6724920868873596,-0.2785548269748688,0.6856833696365356,1.8841991906568425,0.8456210883003599,3.528761594997748,0.23963678631593677
Cylinder,46,-0.9807852506637573,-0.19509032368659973,-1.0,-0.7139209508895874,-0.1420082002878189,-0.6856752038002014,0.6516065931694636,0.29243728712701933,1.0151363239135878,0.2880768624253393
Cylinder,47,-0.9807852506637573,-0.19509032368659973,1.0,-0.7139046788215637,-0.14200405776500702,0.6856930255889893,2.1135993919486955,0.9485741569773066,3.989426738126533,0.2377720457708581
Cylinder,48,-1.0,0.0,-1.0,-0.7278850078582764,-4.384174019378406e-07,-0.6856992840766907,2.217619365425954,0.9952632257717346,4.198167881403403,0.23707084944850498
Cylinder,49,-1.0,0.0,1.0,-0.7278875708580017,4.3841893671014986e-07,0.6856964230537415,2.1767983462821836,0.9769395002958938,4.11626000872384,0.23733668384052686
Cylinder,50,-0.9807852506637573,0.19509032368659973,-1.0,-0.7139177322387695,0.14200665056705475,-0.6856788396835327,1.577830548127326,0.708123529940175,2.912531154504503,0.24312994175014935
Cylinder,51,-0.9807852506637573,0.19509032368659973,1.0,-0.7138986587524414,0.14200377464294434,0.6856994032859802,2.217625111156241,0.9952602505069408,4.198180811742263,0.23706941057021869
Cylinder,52,-0.9238795042037964,0.3826834559440613,-1.0,-0.6724781394004822,0.27854904532432556,-0.6856993436813354,2.2176179686586903,0.9952608997403464,4.198165507895643,0.2370704294217374
Cylinder,53,-0.9238795042037964,0.3826834559440613,1.0,-0.6725000739097595,0.2785590887069702,0.6856738924980164,0.6503974557653726,0.2918970457828835,1.0125021432290757,0.2882927683016693
Cylinder,54,-0.8314695954322815,0.5555702447891235,-1.0,-0.6052290201187134,0.40440061688423157,-0.6856805682182312,1.8546387827624866,0.8323596105424277,3.4693602460447117,0.23991731948026151
Cylinder,55,-0.8314695954322815,0.5555702447891235,1.0,-0.60521399974823,0.4043916165828705,0.6856993436813354,2.21762163363268,0.995260579486923,4.198173357387643,0.23706990987771737
Cylinder,56,-0.7071067690849304,0.7071067690849304,-1.0,-0.5146927237510681,0.5146921277046204,-0.6856992840766907,2.217629323465315,0.9952567219602535,4.198190631360877,0.23706801556975354
Cylinder,57,-0.7071067690849304,0.7071067690849304,1.0,-0.5147057771682739,0.5147063732147217,0.6856787204742432,1.577827393645253,0.7081290465658905,2.9125222042935457,0.2431325829969604
Cylinder,58,-0.5555702447891235,0.8314695954322815,-1.0,-0.40439537167549133,0.6052196621894836,-0.6856919527053833,2.100908714004041,0.9428855207314935,3.963952434330168,0.23786499367791314
Cylinder,59,-0.5555702447891235,0.8314695954322815,1.0,-0.4043908715248108,0.6052144765853882,0.6856993436813354,2.2176215035437905,0.9952605240644483,4.198173095630039,0.23706991145754208
Cylinder,60,-0.3826834559440613,0.9238795042037964,-1.0,-0.27854984998703003,0.6724777817726135,-0.6856993436813354,2.2176182135843656,0.995260849312442,4.198166039795253,0.2370703873734783
Cylinder,61,-0.3826834559440613,0.9238795042037964,1.0,-0.2785548269748688,0.6724920868873596,0.6856833696365356,1.8841992966667367,0.8456210883003522,3.5287618224647295,0.23963677086874413
Cylinder,62,-0.19509032368659973,0.9807852506637573,-1.0,-0.14200618863105774,0.7139108180999756,-0.6856861710548401,0.4354311014513865,0.19541879717921368,0.4354311014513865,0.4354311014513865
Cylinder,63,-0.19509032368659973,0.9807852506637573,1.0,-0.14200405776500702,0.7139046788215637,0.6856930255889893,2.113599265707411,0.9485741569773108,3.989426469642143,0.23777206177267884
