object,index,x,y,z,nx,ny,nz,H,K,k1,k2
Sphere,0,0.0,0.5555702447891235,0.8314695954322815,-2.9037958029221045e-06,0.559775173664093,0.8286444544792175,2.013459992990931,1.013134895772691,3.7572737008170707,0.2696462851647914
Sphere,1,0.0,0.8314695954322815,0.5555702447891235,-2.8057540930603864e-06,0.833339512348175,0.552761435508728,2.0025075505701895,1.0094696988414151,3.7347219689518183,0.27029313218856066
Sphere,2,0.0,0.9807852506637573,0.19509032368659973,-1.119906755775446e-06,0.9810153841972351,0.19392961263656616,1.7034495617961973,0.8598192545724688,3.1324076280147928,0.2744914955776019
Sphere,3,0.0,1.0,0.0,-1.6430592495453311e-06,0.9999999403953552,-1.2286806168049225e-06,2.3863715809939965,1.2047460316326473,4.505339086866406,0.26740407512158715
Sphere,4,0.0,0.9807852506637573,-0.19509032368659973,-2.685411118363845e-06,0.9810152053833008,-0.19393116235733032,1.9948380763250546,1.0068981129102303,3.7189264841064,0.2707496685437094
Sphere,5,0.0,0.8314695954322815,-0.5555702447891235,-2.803350980684627e-06,0.833339512348175,-0.5527615547180176,2.0025075505698666,1.009469698841415,3.7347219689511224,0.27029313218861106
Sphere,6,0.03806023299694061,0.19134171307086945,0.9807852506637573,0.03920594975352287,0.1971043050289154,0.979598343372345,1.5211887839055114,0.7641951939263925,2.766106501007142,0.2762710668038806
Sphere,7,0.07465784251689911,0.3753302991390228,0.9238795042037964,0.07567208260297775,0.38043150305747986,0.9217079877853394,1.7426496089311452,0.8761555215549708,3.2125721027902268,0.2727271150720634
Sphere,8,0.10838638246059418,0.5448951125144958,0.8314695954322815,0.10920664668083191,0.5490186810493469,0.8286449313163757,1.8335709309391648,0.9225969173658869,3.395424138324298,0.27171772355403134
Sphere,9,0.13794969022274017,0.6935198903083801,0.7071067690849304,0.1385415941476822,0.6964967250823975,0.7040586471557617,1.884316851567002,0.9490116964167443,3.4972763367006596,0.2713573664333442
Sphere,10,0.16221167147159576,0.815493106842041,0.5555702447891235,0.1625765562057495,0.8173279166221619,0.5527601838111877,1.9183106224875814,0.9670226753336758,3.5653968281899475,0.2712244167852156
Sphere,11,0.1802399456501007,0.906127393245697,0.3826834559440613,0.1804102212190628,0.9069967269897461,0.38053780794143677,2.352976316728833,1.187041137172198,4.438511358370326,0.2674412750873394
Sphere,12,0.19134171307086945,0.9619396924972534,0.19509032368659973,0.19138911366462708,0.9621647596359253,0.19393064081668854,1.9948073380673375,1.0068628968774083,3.7188703935064034,0.2707442826282713
Sphere,13,0.19509032368659973,0.9807852506637573,0.0,0.19509051740169525,0.9807853102684021,3.372805679191515e-08,1.9937406287381283,1.0065095117282048,3.7166719050671935,0.2708093524090629
Sphere,14,0.19134171307086945,0.9619396924972534,-0.19509032368659973,0.19138595461845398,0.962165355682373,-0.1939307004213333,1.994807354981235,1.00686523865123,3.718869750846304,0.27074495911616636
Sphere,15,0.1802399456501007,0.906127393245697,-0.3826834559440613,0.18041078746318817,0.9069964289665222,-0.3805384635925293,1.9978851308180186,1.0079038715470494,3.725207082394123,0.2705631792419141
Sphere,16,0.16221167147159576,0.815493106842041,-0.5555702447891235,0.16257476806640625,0.8173272609710693,-0.5527616739273071,2.0024746700981946,1.009452402564415,3.734656069900322,0.270293270296067
Sphere,17,0.13794969022274017,0.6935198903083801,-0.7071067690849304,0.13853998482227325,0.696495771408081,-0.704059898853302,2.3125587998647785,1.164686043249795,4.357856372244463,0.2672612274850943
Sphere,18,0.10838638246059418,0.5448951125144958,-0.8314695954322815,0.10920527577400208,0.5490186810493469,-0.8286451697349548,1.8335999786145383,0.9226300236626539,3.3954766888297145,0.2717232683993622
Sphere,19,0.07465784251689911,0.3753302991390228,-0.9238795042037964,0.07567168772220612,0.38043367862701416,-0.9217070937156677,1.622867097858614,0.8158758414761392,2.971133308900002,0.27460088681722583
Sphere,20,0.03806023299694061,0.19134171307086945,-0.9807852506637573,0.03920610621571541,0.1971045732498169,-0.9795981645584106,2.0217747143153373,1.0156991138246245,3.774450919899312,0.26909850873136243
Sphere,21,0.07465782761573792,0.1802399456501007,0.9807852506637573,0.07690626382827759,0.18566828966140747,0.9795981645584106,2.0217431235615564,1.0156774318985218,3.7743890734812533,0.2690971736418595
Sphere,22,0.1464466154575348,0.3535534143447876,0.9238795042037964,0.1484382152557373,0.3583599627017975,0.921707272529602,2.018167020480937,1.0146283276390655,3.766986563749435,0.2693474772124391
Sphere,23,0.21260753273963928,0.513279914855957,0.8314695954322815,0.2142183780670166,0.5171641707420349,0.8286444544792175,2.013421695049771,1.013099970756726,3.757201196976654,0.2696421931228883
Sphere,24,0.27059805393218994,0.6532814502716064,0.7071067690849304,0.2717611491680145,0.656084418296814,0.7040590047836304,2.0079293401130434,1.0112529241398143,3.7458957698081017,0.26996291041798526
Sphere,25,0.3181896209716797,0.7681776285171509,0.5555702447891235,0.31890687346458435,0.7699042558670044,0.5527620911598206,2.0024671779633763,1.009433454716994,3.734645385915322,0.2702889700114306
Sphere,26,0.3535533547401428,0.8535533547401428,0.3826834559440613,0.35389217734336853,0.8543723821640015,0.38053664565086365,1.6958021916972008,0.8555046834265293,3.117153798421765,0.27445058497263664
Sphere,27,0.37533026933670044,0.906127393245697,0.19509032368659973,0.3754197955131531,0.9063395261764526,0.19392961263656616,2.369078298944845,1.195776112626798,4.47068622477321,0.2674703731164798
Sphere,28,0.3826834261417389,0.9238794445991516,0.0,0.3826824724674225,0.9238799214363098,1.2636131714316434e-06,2.386329595646103,1.204697021992891,4.505261382434815,0.2673978088573912
Sphere,29,0.37533026933670044,0.906127393245697,-0.19509032368659973,0.3754192888736725,0.9063398838043213,-0.19392907619476318,1.7034272084756512,0.8597931860860121,3.1323677490472797,0.27448666790402276
Sphere,30,0.3535533547401428,0.8535533547401428,-0.3826834559440613,0.3538908064365387,0.854372501373291,-0.3805377185344696,2.352965470348393,1.1870327071137907,4.43849029579115,0.2674406449056357
